Title,Condition,Price,Shipping,Location,Sold Date,Rating,Sold After 2/22/26,US Seller,Log of Price,Log of Shipping
2019-20 Upper Deck Young Guns JACK HUGHES #201 (RC) USA 🇺🇸 🥇PSA 10,New (Other),199.99,6.84,Located in United States,2026-03-28,5.0,1,1,5.2982673652979955,2.0592388343623163
Jack Hughes PSA 9 Young Guns RC Rookie 2019-20 Upper Deck USA,New (Other),138.92,14.62,Located in Canada,2026-03-28,,1,0,4.933898227875873,2.7485521444115397
2019-20 Jack Hughes Upper Deck Young Guns Rookie RC #201 PSA 9 MINT,New (Other),142.58,5.81,Located in Canada,2026-03-27,,1,0,4.959903245689483,1.918392120161421
2019-20 Upper Deck Young Guns JACK HUGHES #201 (RC) USA 🇺🇸 🥇PSA 10 87895907,New (Other),209.11,5.11,Located in Canada,2026-03-27,,1,0,5.3428604292987085,1.809926773183504
2019 UPPER DECK JESPER BOQVIST YOUNG GUNS #233 RC PSA 10 GEM MT,New (Other),36.56,0.0,Located in Canada,2026-03-26,,1,0,3.5989547465859495,0.0
Jack Hughes Young Guns 2019-20 Upper Deck #201 Devils RC 🥇Gold!,New (Other),219.35,24.83,Located in Canada,2026-03-26,,1,0,5.390668627612223,3.251536607107749
JACK HUGHES 2019-20 UPPER DECK SERIES 1 YOUNG GUNS ROOKIE #201 PSA 9 RC! USA 🥇!,New (Other),149.95,0.0,Located in United States,2026-03-26,5.0,1,1,5.010301905195018,0.0
2019-20 Jack Hughes Upper Deck Young Guns Rookie RC #201 PSA 10 GEM MINT,New (Other),239.99,6.95,Located in United States,2026-03-25,5.0,1,1,5.480597255807245,2.0731719286662407
2019-20 Upper Deck Young Guns Jack Hughes RC SGC 10 New Jersey Devils Rookie,New (Other),125.0,5.97,Located in United States,2026-03-25,5.0,1,1,4.8283137373023015,1.9416152247724325
2019 Jack Hughes RC PSA 10 -more RARE Young Guns Rookie Serial # NHL GEM,New (Other),389.0,5.49,Located in United States,2026-03-25,,1,1,5.963579343618446,1.8702625307159986
2019-20 Jack Hughes Upper Deck Young Guns Rookie RC #201 PSA 9 MINT,New (Other),139.99,6.95,Located in United States,2026-03-25,5.0,1,1,4.941570991486734,2.0731719286662407
2019-20 Upper Deck #201 Rookie Young Guns RC JACK HUGHES PSA 10 Gem Mint Devils,New (Other),249.99,0.0,Located in United States,2026-03-24,5.0,1,1,5.521420917062225,0.0
2019-20 Upper Deck Jack Hughes Young Guns PSA 10 #201 GEM MINT,New (Other),255.9,21.78,Located in Canada,2026-03-24,,1,0,5.544786743165743,3.125882958019036
JACK HUGHES 2019-20 Upper Deck #201 Rookie Young Guns - PSA 10 Gem Mint 🔥,New (Other),219.34,25.29,Located in Canada,2026-03-24,,1,0,5.3906230373320625,3.26918863874179
2019-20 UPPER DECK SERIES 1 JACK HUGHES YOUNG GUNS #201 PSA 10,New (Other),299.99,0.0,Located in United States,2026-03-14,5.0,1,1,5.7037491407673,0.0
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC) PSA 9,New (Other),145.0,8.6,Located in United States,2026-03-23,5.0,1,1,4.976733742420574,2.2617630984737906
2019-20 Upper Deck Signed Jack Hughes Young Guns RC JUMBO Oversize Card PSA Auto,Pre-Owned,596.99,8.75,Located in United States,2026-03-23,,1,1,6.391900362833552,2.277267285009756
JACK HUGHES 2019-20 Upper Deck Deck Young Guns RC #201 PSA 10 New Jersey Devils,New (Other),255.17,25.18,Located in Canada,2026-03-23,,1,0,5.541929989701587,3.264995760481754
Jack & Quinn Hughes Canvas Young Guns PSA 10 💎 2019-20 Upper Deck Checklist,New (Other),219.34,8.77,Located in Canada,2026-03-22,,1,0,5.3906230373320625,2.2793164660546914
2019-20 Upper Deck - Young Guns - Jack Hughes - Rookie RC - SGC 10,New (Other),185.0,5.89,Located in United States,2026-03-22,5.0,1,1,5.220355825078324,1.9300710850255671
2019-20 Upper Deck Jack Hughes Quinn Hughes Young Guns Silver Foil PSA 10,New (Other),200.0,5.5,Located in United States,2026-03-21,,1,1,5.298317366548036,1.8718021769015913
Jack Hughes 2019 Upper Deck #201 Rookie Young Guns - PSA 10 Gem Mint,New (Other),225.0,11.95,Located in Canada,2026-02-22,5.0,0,0,5.41610040220442,2.5610957881455465
2019-20 UPPER DECK SERIES 1 YOUNG GUNS ROOKIE #201 JACK HUGHES PSA 9 RC! USA 🥇!,New (Other),120.64,10.97,Located in Canada,2026-03-21,,1,0,4.792810904259646,2.482403519569882
JACK HUGHES 2019-20 Upper Deck Deck Young Guns RC #201 PSA 10 New Jersey Devils,New (Other),274.18,25.75,Located in Canada,2026-03-20,,1,0,5.613784825007754,3.2865344733420154
"2019-20 UPPER DECK JACK HUGHES YOUNG GUNS ROOKIE PSA 10 ""GEM MT"" DEVILS",New (Other),237.63,9.5,Located in Canada,2026-03-20,,1,0,5.470714842144298,2.3513752571634776
Jack Hughes Young Guns PSA 10 2019-20 Upper Deck #201 GEM MINT Devils RC,New (Other),212.03,19.81,Located in Canada,2026-03-19,,1,0,5.356727774094459,3.035433640405543
2019-20 Upper Deck Series 1 Jack Hughes Young Guns PSA 10,New (Other),237.63,20.08,Located in Canada,2026-03-19,,1,0,5.470714842144298,3.0483247236731614
